threshold,fpr,tpr
3.784461152882205304e-01,5.318000000000000504e-01,9.000000000000000222e-01
3.809523809523809312e-01,5.433999999999999941e-01,9.033333333333333215e-01
3.834586466165413321e-01,5.530000000000000471e-01,9.066666666666666208e-01
3.859649122807017330e-01,5.627999999999999670e-01,9.133333333333333304e-01
3.884711779448621338e-01,5.707999999999999741e-01,9.200000000000000400e-01
3.909774436090225347e-01,5.802000000000000490e-01,9.200000000000000400e-01
3.934837092731829356e-01,5.869999999999999662e-01,9.200000000000000400e-01
3.959899749373433364e-01,5.959999999999999742e-01,9.200000000000000400e-01
3.984962406015037373e-01,6.039999999999999813e-01,9.233333333333333393e-01
4.010025062656641381e-01,6.138000000000000123e-01,9.266666666666666385e-01
4.035087719298245390e-01,6.213999999999999524e-01,9.266666666666666385e-01
4.060150375939849399e-01,6.288000000000000256e-01,9.266666666666666385e-01
4.085213032581453407e-01,6.368000000000000327e-01,9.333333333333333481e-01
4.110275689223057416e-01,6.460000000000000187e-01,9.333333333333333481e-01
4.135338345864661425e-01,6.532000000000000028e-01,9.433333333333333570e-01
4.160401002506265433e-01,6.612000000000000099e-01,9.433333333333333570e-01
4.185463659147869442e-01,6.680000000000000382e-01,9.433333333333333570e-01
4.210526315789473450e-01,6.765999999999999792e-01,9.433333333333333570e-01
4.235588972431077459e-01,6.862000000000000322e-01,9.433333333333333570e-01
4.260651629072681468e-01,6.929999999999999494e-01,9.499999999999999556e-01
4.285714285714285476e-01,7.014000000000000234e-01,9.533333333333333659e-01
4.310776942355889485e-01,7.059999999999999609e-01,9.533333333333333659e-01
4.335839598997493494e-01,7.139999999999999680e-01,9.533333333333333659e-01
4.360902255639097502e-01,7.246000000000000218e-01,9.533333333333333659e-01
4.385964912280701511e-01,7.338000000000000078e-01,9.566666666666666652e-01
4.411027568922305520e-01,7.406000000000000361e-01,9.566666666666666652e-01
4.436090225563909528e-01,7.469999999999999973e-01,9.599999999999999645e-01
4.461152882205513537e-01,7.541999999999999815e-01,9.599999999999999645e-01
4.486215538847117545e-01,7.631999999999999895e-01,9.599999999999999645e-01
4.511278195488721554e-01,7.698000000000000398e-01,9.599999999999999645e-01
4.536340852130325563e-01,7.760000000000000231e-01,9.599999999999999645e-01
4.561403508771929571e-01,7.820000000000000284e-01,9.599999999999999645e-01
4.586466165413533580e-01,7.883999999999999897e-01,9.633333333333333748e-01
4.611528822055137589e-01,7.952000000000000179e-01,9.666666666666666741e-01
4.636591478696741597e-01,7.995999999999999774e-01,9.666666666666666741e-01
4.661654135338345606e-01,8.042000000000000259e-01,9.666666666666666741e-01
4.686716791979949615e-01,8.100000000000000533e-01,9.666666666666666741e-01
4.711779448621553623e-01,8.154000000000000137e-01,9.666666666666666741e-01
4.736842105263157632e-01,8.212000000000000410e-01,9.666666666666666741e-01
4.761904761904761640e-01,8.262000000000000455e-01,9.666666666666666741e-01
4.786967418546365649e-01,8.309999999999999609e-01,9.666666666666666741e-01
4.812030075187969658e-01,8.352000000000000535e-01,9.733333333333333837e-01
4.837092731829573666e-01,8.397999999999999909e-01,9.766666666666666829e-01
4.862155388471177675e-01,8.431999999999999496e-01,9.799999999999999822e-01
4.887218045112781684e-01,8.466000000000000192e-01,9.799999999999999822e-01
4.912280701754385692e-01,8.491999999999999549e-01,9.799999999999999822e-01
4.937343358395989701e-01,8.548000000000000043e-01,9.799999999999999822e-01
4.962406015037593709e-01,8.599999999999999867e-01,9.799999999999999822e-01
4.987468671679197718e-01,8.633999999999999453e-01,9.833333333333332815e-01
5.012531328320801727e-01,8.689999999999999947e-01,9.866666666666666918e-01
5.037593984962405180e-01,8.731999999999999762e-01,9.866666666666666918e-01
5.062656641604009744e-01,8.773999999999999577e-01,9.866666666666666918e-01
5.087719298245614308e-01,8.811999999999999833e-01,9.899999999999999911e-01
5.112781954887217761e-01,8.866000000000000547e-01,9.899999999999999911e-01
5.137844611528821215e-01,8.910000000000000142e-01,9.899999999999999911e-01
5.162907268170425779e-01,8.965999999999999526e-01,9.899999999999999911e-01
5.187969924812030342e-01,9.008000000000000451e-01,9.899999999999999911e-01
5.213032581453633796e-01,9.035999999999999588e-01,9.899999999999999911e-01
5.238095238095237249e-01,9.072000000000000064e-01,9.933333333333332904e-01
5.263157894736841813e-01,9.123999999999999888e-01,9.933333333333332904e-01
5.288220551378446377e-01,9.152000000000000135e-01,9.966666666666667007e-01
5.313283208020049830e-01,9.200000000000000400e-01,9.966666666666667007e-01
5.338345864661653284e-01,9.230000000000000426e-01,9.966666666666667007e-01
5.363408521303257848e-01,9.255999999999999783e-01,9.966666666666667007e-01
5.388471177944862411e-01,9.284000000000000030e-01,9.966666666666667007e-01
5.413533834586465865e-01,9.310000000000000497e-01,9.966666666666667007e-01
5.438596491228069318e-01,9.334000000000000075e-01,9.966666666666667007e-01
5.463659147869673882e-01,9.360000000000000542e-01,9.966666666666667007e-01
5.488721804511278446e-01,9.375999999999999890e-01,9.966666666666667007e-01
5.513784461152881899e-01,9.395999999999999908e-01,9.966666666666667007e-01
5.538847117794485353e-01,9.417999999999999705e-01,9.966666666666667007e-01
5.563909774436089917e-01,9.437999999999999723e-01,9.966666666666667007e-01
5.588972431077694480e-01,9.455999999999999961e-01,9.966666666666667007e-01
5.614035087719297934e-01,9.472000000000000419e-01,9.966666666666667007e-01
5.639097744360901387e-01,9.494000000000000217e-01,9.966666666666667007e-01
5.664160401002505951e-01,9.509999999999999565e-01,9.966666666666667007e-01
5.689223057644110515e-01,9.529999999999999583e-01,9.966666666666667007e-01
5.714285714285713969e-01,9.537999999999999812e-01,9.966666666666667007e-01
5.739348370927317422e-01,9.544000000000000261e-01,9.966666666666667007e-01
5.764411027568921986e-01,9.562000000000000499e-01,9.966666666666667007e-01
5.789473684210526550e-01,9.584000000000000297e-01,9.966666666666667007e-01
5.814536340852130003e-01,9.594000000000000306e-01,9.966666666666667007e-01
5.839598997493733457e-01,9.616000000000000103e-01,9.966666666666667007e-01
5.864661654135338020e-01,9.644000000000000350e-01,9.966666666666667007e-01
5.889724310776942584e-01,9.664000000000000368e-01,9.966666666666667007e-01
